fecha_id,lluvia_mm,lluvia_acum_12m,temp_media,nivel_lago_m,clima_fuente
201410,431.3,,25.46,26.7,openmeteo
201411,273.2,,25.43,26.7,openmeteo
201412,202.2,,25.46,26.7,openmeteo
201501,17.7,,26.07,26.7,openmeteo
201502,41.3,,25.93,26.7,openmeteo
201503,24.5,,26.08,26.7,openmeteo
201504,135.8,,26.39,26.69,openmeteo
201505,244.3,,26.3,26.69,openmeteo
201506,285.7,,26.62,26.69,openmeteo
201507,290.7,,26.14,26.69,openmeteo
201508,289.2,,26.29,26.69,openmeteo
201509,385.1,2621.0,26.28,26.69,openmeteo
201510,305.0,2494.7,26.15,26.69,openmeteo
201511,332.7,2554.2,25.64,26.69,openmeteo
201512,107.7,2459.7000000000003,26.6,26.69,openmeteo
201601,24.5,2466.5,26.15,26.69,openmeteo
201602,19.8,2445.0,26.37,26.68,openmeteo
201603,14.5,2435.0,26.79,26.68,openmeteo
201604,94.2,2393.4,26.96,26.68,openmeteo
201605,306.5,2455.6,26.67,26.68,openmeteo
201606,371.0,2540.9,26.11,26.68,openmeteo
201607,455.1,2705.3,25.72,26.68,openmeteo
201608,384.2,2800.2999999999997,26.12,26.68,openmeteo
201609,366.1,2781.3,25.83,26.68,openmeteo
201610,335.2,2811.5,25.71,26.68,openmeteo
201611,539.9,3018.7000000000003,25.04,26.68,openmeteo
201612,171.2,3082.2,25.5,26.67,openmeteo
201701,43.5,3101.2,26.06,26.67,openmeteo
201702,42.2,3123.6000000000004,26.0,26.67,openmeteo
201703,78.9,3188.0,26.35,26.67,openmeteo
201704,112.5,3206.2999999999997,26.87,26.67,openmeteo
201705,320.3,3220.1,26.55,26.67,openmeteo
201706,250.1,3099.2,26.6,26.67,openmeteo
201707,319.5,2963.6,26.21,26.67,openmeteo
201708,214.1,2793.5,26.24,26.67,openmeteo
201709,290.5,2717.8999999999996,26.52,26.67,openmeteo
201710,259.8,2642.5,26.44,26.66,openmeteo
201711,357.5,2460.1,25.55,26.66,openmeteo
201712,231.2,2520.1000000000004,25.83,26.66,openmeteo
201801,331.6,2808.2000000000003,25.38,26.66,openmeteo
201802,40.3,2806.2999999999997,25.95,26.66,openmeteo
201803,84.3,2811.7000000000003,26.12,26.66,openmeteo
201804,205.8,2905.0000000000005,26.12,26.66,openmeteo
201805,261.1,2845.8,26.35,26.66,openmeteo
201806,318.2,2913.9,26.15,26.66,openmeteo
201807,350.8,2945.2000000000003,25.95,26.66,openmeteo
201808,261.3,2992.4,26.08,26.65,openmeteo
201809,291.2,2993.1,25.97,26.65,openmeteo
201810,314.1,3047.4,25.98,26.65,openmeteo
201811,381.4,3071.3,25.98,26.65,openmeteo
201812,59.7,2899.8,26.58,26.65,openmeteo
201901,38.9,2607.1,26.2,26.65,openmeteo
201902,20.9,2587.7000000000003,26.35,26.65,openmeteo
201903,34.2,2537.6,26.5,26.65,openmeteo
201904,98.1,2429.8999999999996,26.87,26.65,openmeteo
201905,308.9,2477.7,26.69,26.65,openmeteo
201906,271.0,2430.5,26.74,26.65,openmeteo
201907,270.3,2350.0,26.32,26.64,openmeteo
201908,274.7,2363.4,26.44,26.64,openmeteo
201909,272.8,2345.0,26.37,26.64,openmeteo
201910,233.9,2264.8,26.05,26.64,openmeteo
201911,323.4,2206.7999999999997,26.09,26.64,openmeteo
201912,231.4,2378.5,26.24,26.64,openmeteo
202001,47.2,2386.7999999999997,26.66,26.64,openmeteo
202002,38.2,2404.1,26.6,26.64,openmeteo
202003,26.3,2396.2,26.75,26.64,openmeteo
202004,99.2,2397.3,26.97,26.64,openmeteo
202005,242.9,2331.3,26.92,26.63,openmeteo
202006,356.0,2416.3,26.32,26.63,openmeteo
202007,311.1,2457.1,26.0,26.63,openmeteo
202008,332.6,2515.0,26.06,26.63,openmeteo
202009,321.3,2563.5,26.11,26.63,openmeteo
202010,269.3,2598.8999999999996,26.14,26.63,openmeteo
202011,286.4,2561.9,25.69,26.63,openmeteo
202012,243.1,2573.6,25.91,26.63,openmeteo
202101,86.0,2612.4,26.25,26.63,openmeteo
202102,64.2,2638.4,26.2,26.63,openmeteo
202103,76.6,2688.7000000000003,26.22,26.62,openmeteo
202104,163.6,2753.1,26.39,26.62,openmeteo
202105,319.6,2829.8,26.24,26.62,openmeteo
202106,306.8,2780.6,26.09,26.62,openmeteo
202107,340.3,2809.8,26.07,26.62,openmeteo
202108,246.8,2724.0,25.98,26.62,openmeteo
202109,244.7,2647.4,26.02,26.62,openmeteo
202110,285.9,2664.0,25.85,26.62,openmeteo
202111,317.4,2695.0,25.17,26.62,openmeteo
202112,121.6,2573.5,25.79,26.62,openmeteo
202201,34.7,2522.2000000000003,26.23,26.61,openmeteo
202202,31.8,2489.7999999999997,26.24,26.61,openmeteo
202203,95.9,2509.1,26.28,26.61,openmeteo
202204,135.0,2480.5,26.22,26.61,openmeteo
202205,273.9,2434.7999999999997,26.11,26.61,openmeteo
202206,297.3,2425.3,25.4,26.61,openmeteo
202207,317.7,2402.7,25.46,26.61,openmeteo
202208,327.9,2483.8,25.61,26.61,openmeteo
202209,232.1,2471.2,25.88,26.61,openmeteo
202210,351.3,2536.6000000000004,25.59,26.61,openmeteo
202211,369.9,2589.1,25.26,26.6,openmeteo
202212,64.3,2531.8,26.06,26.6,openmeteo
202301,71.0,2568.1,25.93,26.6,openmeteo
202302,15.2,2551.5,26.41,26.6,openmeteo
202303,28.7,2484.3,26.58,26.6,openmeteo
202304,47.8,2397.1,26.96,26.6,openmeteo
202305,123.8,2247.0,27.36,26.04,openmeteo
202306,164.6,2114.3,27.11,25.46,openmeteo
202307,283.1,2079.7,26.76,24.9,openmeteo
202308,259.3,2011.1,26.76,24.6,openmeteo
202309,233.6,2012.6,26.81,24.3,openmeteo
202310,306.0,1967.3,26.74,24.28,openmeteo
202311,335.3,1932.7,26.25,24.25,openmeteo
202312,101.5,1969.8999999999999,27.19,24.23,openmeteo
202401,42.6,1941.5,27.4,24.2,openmeteo
202402,45.1,1971.4,26.95,24.17,openmeteo
202403,34.8,1977.5,27.67,24.14,openmeteo
202404,160.4,2090.1,27.55,24.11,openmeteo
202405,261.3,2227.6,27.43,24.34,openmeteo
202406,274.8,2337.8,26.77,24.79,openmeteo
202407,367.4,2422.1,26.27,25.26,openmeteo
202408,313.6,2476.4,26.26,25.77,openmeteo
202409,241.9,2484.7,26.53,26.22,openmeteo
202410,355.5,2534.2,26.22,26.6,openmeteo
202411,349.9,2548.7999999999997,25.57,26.61,openmeteo
202412,201.1,2648.3999999999996,25.83,26.62,openmeteo
202501,138.5,2744.2999999999997,26.24,26.63,openmeteo
202502,75.0,2774.2,26.49,26.63,openmeteo
202503,39.1,2778.5,27.25,26.64,openmeteo
202504,198.7,2816.8,26.72,26.65,openmeteo
202505,279.9,2835.4,26.33,26.66,openmeteo
202506,417.9,2978.5,26.0,26.67,openmeteo
202507,286.3,2897.4,25.97,26.68,openmeteo
202508,250.0,2833.7999999999997,26.11,26.68,openmeteo
202509,275.1,2867.0,26.06,26.69,openmeteo
